Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,MED REIMB,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,LTC/LLTC ENCASH,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HINDI AWD,HBL PRIN,HBL INT,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
736857,S5,S5,,,,,,,,,,,,,,,-5481,40,,,,,,,,,,,,,1570,,600,
736878,S5,S5,,-49,-175,900,,,,,,,,,,,-500,40,-500,,,,,,100,,,,,,1570,,,-50
736906,S5,S5,,-49,-449,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1570,,,-50
736911,S5,S5,-32,-49,-175,900,,,,,,,,,,,-2829,15,-500,,,,,,100,,,,,,1570,,,-50
736927,S5,S5,,,,900,,,,,,,,,,,-5901,40,,,,,,,100,,,,,,1570,,,
736953,S5,S5,,-49,-879,900,,,,,,,,,,,-3284,40,,,,,,,100,,,,,,1570,,,-50
736969,S4,S4,,-49,-449,900,,,,,,,,,,,-8851,40,,,,,,,100,,,,,,1524,,,-50
736974,S4,S4,,-49,-175,900,,,,,,,,,,,-3334,,,,900,,,,100,,,,,,1480,,,-50
736981,S4,S4,-33,-49,-175,,,,,,,,,,,,-500,40,,,,,,,,,,,,,1480,,624,-50
736995,S4,S4,-55,-49,-634,900,,,,,,,,,,,-6908,,,,,,,,100,,,,,,1480,,,-200
737006,S4,S4,60,-49,-277,900,,,,,,,,,,,-9076,40,-500,,,,,,100,,,-18,,,1480,,,-50
737011,S4,S4,-5,-49,-260,900,,,,,,,,,,,-500,15,,,,,,,100,,,,,,1480,,,-75
737027,S4,S4,-32,-49,-277,900,,,,,,,,,,,-9174,40,,,,,,,100,,,,,,1480,,,-50
737032,S4,S4,,-49,-175,,,,,,,,,,,,-9579,40,,,,,,,,,,,,,1480,,552,-50
737048,S2,S2,,-49,-217,900,,,,,,,,,,,-10386,40,,,,,,,100,,,-511,,,1395,,,-50
737053,S4,S4,,-49,-449,900,,,,,,,30000,,,,-5896,25,-500,,900,,,,100,,,,,,1480,,,-50
737069,S4,S4,,,,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1480,,,
737074,S4,S4,,-49,-217,900,,,,,,,,,,,,,-500,-25,900,,,,100,,,,,,1480,,,-50
737081,S3,S3,,-49,-449,900,,,,,,,,,,,-11266,40,,,,,,,100,,,,,,1437,,,-50
737102,S3,S3,,,,900,,,,,,,,,,,-5895,,-500,-25,,,,,100,,,,,,1394,,,
737118,S3,S3,-20,-49,-449,900,,,,,,,,,,,-2741,,-500,-25,,,,,100,,,,,,1394,,,-50
737123,S1,S1,,-49,-175,,,,,,,,,,,,0,,,-25,,,,,,,,-1051,,,1314,,144,-50
737139,S3,S3,,-49,-389,900,,,,,,,,,,,-500,40,,-25,,,,,100,,,,,,1394,,,-75
737144,S3,S3,,-49,-217,900,,,,,,,,,,,-7244,40,-500,-25,,,,,100,,,-12,,,1394,,,-50
737165,S3,S3,,-49,123,900,,,,,,,,,,,-500,40,-500,-25,,,,,100,,,-6,,,1394,,,-50
737172,S3,S3,,,,900,,,,,,,,,,,-10606,40,-500,-25,,,,,100,,,,,,1394,,,
737186,S3,S3,,-49,-260,900,,,,,,,,,,,-500,25,,-25,,,,600,100,,,,,,1394,,,-75
737209,S3,S3,,,,900,,,,,,,,,,,-5853,40,,-25,,,,,100,,,-6,,,1394,,,
737214,S3,S3,,-49,-449,900,,,,,,,,,,,-5725,40,,-25,,,,,100,,,,,,1394,,,-50
737235,S3,S3,-33,-49,-217,900,,,,,,,,,,,-500,,,-25,,,,,100,,,,,,1394,,,-75
737242,S3,S3,,-49,-175,,,,,,,,,,,,-7295,25,-500,-25,,,,,,,,-35,,,1394,,552,-50
737261,S3,S3,,,,900,,,,,,,,,,,-3550,40,,,,,,,100,,,,,,1394,,,
737277,S3,S3,,,,900,,,,,,,,,,,,40,,,,,,,100,,,,,,1394,,,
737298,S3,S3,,-49,-217,900,,,,,,,,,,,-7034,40,-500,,,,,,100,,,,,,1203,,,-75
737305,S2,S2,,-49,-175,900,,,,,,,,,,,-4299,40,-500,,,,,,100,,,,,,1134,,,-50
737312,S1,S1,,-49,-684,900,,,,,,,,,,,-11771,40,,,,,,,100,,,,,,950,,,-50
737326,S4,S4,,-49,-260,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1101,,,-75
737331,S4,S4,,-49,-260,900,,,,,,,,,,,-6107,40,,,,,,,100,,,,,,1101,,,-75
737347,S3,S3,,,,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1069,,,
737352,S3,S3,,-99,-240,900,,,,,,,,,,,-2876,40,,,,,,,100,,,,,,1038,,,-150
737368,S3,S3,-146,-50,-710,,,,,,,,,,,,-4960,,,,,,,,,,,,,,1038,,576,-200
737373,S3,S3,,-49,-260,900,,,,,,,,,,,-3347,40,,,,,,,100,,,-9,,,1038,,,-75
737389,S3,S3,,-49,-260,900,,,,,,,,,,,-1643,40,,,,,,,100,,,,,,1038,,,-75
